City_ID,City,Country,id,lat,lon,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),dt
0,Ushuaia,AR,3833367,-54.8,-68.3,37.06,75,0,3.44,08/22/2022
1,Ocós,GT,3592086,14.5094,-92.1933,75.38,74,64,4.47,08/22/2022
2,Leningradskiy,RU,2123814,69.3833,178.4167,38.08,83,0,13.02,08/22/2022
3,Arraial do Cabo,BR,3471451,-22.9661,-42.0278,71.46,64,40,4.61,08/22/2022
4,Ancud,CL,3899695,-41.8697,-73.8203,46.51,90,100,3.8,08/22/2022
5,Okha,RU,2122614,53.5739,142.9478,54.01,84,15,7.4,08/22/2022
6,Avarua,CK,4035715,-21.2078,-159.775,66.25,94,75,16.11,08/22/2022
7,Eyl,SO,60019,7.9803,49.8164,85.14,56,100,27.87,08/22/2022
8,Iqaluit,CA,5983720,63.7506,-68.5145,43.7,87,100,17.0,08/22/2022
9,Araouane,ML,2460954,18.9048,-3.5265,101.89,24,2,11.65,08/22/2022
10,Mackay,AU,2159220,-21.15,149.2,64.69,70,100,10.07,08/22/2022
11,Cape Town,ZA,3369157,-33.9258,18.4232,68.11,51,18,11.99,08/22/2022
12,Ponta do Sol,PT,2264557,32.6667,-17.1,84.7,57,54,5.93,08/22/2022
13,Hilo,US,5855927,19.7297,-155.09,72.28,83,100,6.91,08/22/2022
14,Barrow,US,5880054,71.2906,-156.7887,33.91,80,100,19.8,08/22/2022
15,Bathsheba,BB,3374083,13.2167,-59.5167,88.41,66,20,16.11,08/22/2022
16,Punta Arenas,CL,3874787,-53.15,-70.9167,33.91,86,40,9.22,08/22/2022
17,Lingao,CN,1803560,19.9103,109.6859,82.76,77,96,5.55,08/22/2022
18,Rikitea,PF,4030556,-23.1203,-134.9692,66.61,79,100,8.23,08/22/2022
19,Palma de Mallorca,ES,2512989,39.5694,2.6502,88.03,51,20,12.66,08/22/2022
20,Vaini,TO,4032243,-21.2,-175.2,64.56,100,20,1.14,08/22/2022
21,Esso,RU,2125711,55.9333,158.7,53.85,86,100,4.65,08/22/2022
